NU_INSCRICAO,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_COR_RACA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q005,Q006,Q025
160000430851,AM,36,M,3,537.8,644.1,643.9,428.2,580,3,A,A
160000430852,RJ,19,F,1,618.5,705.3,681.9,674.1,760,2,G,B
160000430853,MG,28,F,1,,,,,,5,F,A
160000430854,SP,18,M,1,,,,,,2,F,B
160000430855,RJ,21,M,3,,,,,,5,F,B
160000430856,SP,21,M,3,647.7,721.7,659.6,612.6,920,2,I,B
160000430857,SP,28,F,4,452.6,533.6,537.9,592.9,540,2,A,B
160000430858,SP,18,F,3,452.3,583,567.5,643.3,600,4,A,B
160000430859,RS,28,M,1,476.3,604.1,,,,2,B,B
160008621639,PE,20,F,1,468.2,623.5,575.2,440.2,900,3,C,B
160000430860,PA,19,F,3,561.8,545.1,560.9,450.5,600,5,F,B
160000430861,MG,32,M,3,396.7,448.4,511.8,452.2,360,2,D,A
160000430862,MG,25,F,1,500.7,502.6,543.6,412.5,0,2,C,B
160000430863,RS,21,F,3,436,487.9,503.8,419.9,340,2,D,B
160000430864,BA,23,F,3,,,,,,5,C,A
160000430865,MG,23,F,3,581.8,614.3,604.2,668.6,940,4,H,B
160000430866,CE,23,F,3,562.7,678.9,630.6,547.7,560,2,C,A
160000430867,SP,24,M,3,,,,,,4,P,B
160000430868,RS,19,F,1,597.2,469,,,,2,D,A
160000430869,MG,23,M,4,,,,,,2,F,B
160000430870,RS,25,M,1,,,,,,1,B,B
160000430871,AM,19,M,1,451.8,413.1,418.5,361.8,580,4,C,B
160000430872,CE,35,F,3,,,,,,3,C,A
160008493024,ES,33,F,1,542,583.8,580.9,469.3,620,2,F,B
160000430873,ES,18,M,1,748.7,744.3,658.2,887.7,900,4,E,B
160000430874,PE,30,F,3,611.4,602.6,612.5,558.6,860,5,B,B
160000430875,MS,19,F,1,363.2,406.7,423.9,522,380,5,C,A
160000430876,CE,19,M,3,508.1,501.2,614.9,538.2,660,4,B,A
160000430877,RN,32,F,3,488,527.2,485.5,559.8,500,4,B,A
160000430878,BA,18,F,3,,,,,,4,B,A
160000430879,CE,34,M,3,583,635,619.3,649,520,3,G,B
160000430880,PR,41,F,1,491.9,565,585.3,564.5,580,3,D,B
160000430881,SP,20,M,3,518.8,568,665.4,552.5,640,2,E,B
160000430882,MS,24,M,0,536.3,596,594.6,676.3,500,3,A,A
160000434197,RS,39,F,3,,,,,,2,E,B
160000434198,RJ,22,M,2,428.8,528.6,427.7,358.4,380,4,C,B
160000434199,MG,30,F,1,,,,,,3,E,B
160000434200,MG,22,M,1,,,,,,5,D,A
160000434201,PB,21,M,3,480.2,495.7,460.3,379.2,360,4,C,A
160000434202,RS,23,M,1,,,,,,2,D,A
160000434203,PI,21,M,2,,,,,,6,C,A
160000434204,MG,50,F,3,418.5,579,579,659.1,560,7,H,B
160000434205,RS,25,F,1,,,,,,2,D,A
160000434206,MA,18,F,3,494.1,498.3,556.4,448.6,440,5,F,B
160000434207,GO,17,F,3,420.6,521.8,545.4,473.4,540,4,G,B
160000434208,RS,20,F,1,446.1,613.4,574,416.4,760,2,B,B
160000434209,RJ,22,M,3,521.7,450.9,422.9,501.9,480,5,B,B
