NU_INSCRICAO,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_COR_RACA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q005,Q006,Q025
160000447781,MG,22,F,3,,,,,,3,E,B
160000447782,AM,45,M,1,,,,,,4,G,B
160000447783,PE,18,M,1,419.4,419.7,501.4,338.5,560,4,C,B
160000447784,PE,16,M,3,576.8,690.4,652.3,763.7,820,5,Q,B
160000398265,BA,19,F,2,491.1,541.2,592.2,598.3,560,4,C,B
160000398266,GO,25,M,3,540.6,597.8,574.1,721.3,440,6,D,A
160000398267,PR,21,F,1,538.2,609,567,420.1,600,3,C,B
160000398268,SE,21,M,3,482.4,557.6,424.5,473.7,480,4,B,B
160000398269,MG,34,F,1,,,,,,4,F,B
160000398270,SP,25,F,2,,,,,,6,D,A
160000398271,RJ,20,F,1,562.4,619.6,557.6,603,760,1,C,A
160000398272,SP,18,F,1,731.2,651.5,646.8,724.3,720,4,Q,B
160000398273,SP,22,F,2,,,,,,2,E,A
160000398274,CE,24,M,3,494,575.3,572.5,512.5,440,7,G,B
160000398275,GO,18,M,3,749.6,648.5,627.3,764.7,900,4,I,B
160000398276,SP,20,F,1,,,,,,4,G,B
160000398277,SP,29,F,3,,,,,,3,E,B
160000398278,CE,22,M,3,385.9,523.8,525.8,519.4,480,6,H,B
160000398279,MG,23,F,2,421.7,480.6,518.3,463.5,500,4,D,A
160000398280,SP,21,F,1,509.4,636.9,648.4,499.3,660,6,G,B
160000398281,SP,23,M,3,479.6,528.6,457.4,542,460,8,B,B
160000398282,ES,18,F,2,490.5,591.9,631.2,416.9,680,4,C,B
160000398283,RS,21,F,3,421.9,601.9,616.5,514.4,520,3,D,A
160000398284,PR,30,M,1,,,,,,3,F,B
160000398285,MA,25,F,3,,,,,,5,C,A
160000398286,CE,17,M,3,482.2,574.6,434.7,562.3,580,4,B,A
160000398287,MG,21,F,3,669.6,671.7,538.3,777.4,720,4,K,B
160000398288,SP,21,F,3,440.5,546.6,546.4,420.2,600,6,C,B
160000398289,TO,18,M,1,,,,,,5,D,B
160000398290,MG,25,F,1,646.9,591.6,621.9,669.1,900,3,G,B
160000398291,PR,22,M,2,460,551.1,499,453.7,620,3,F,B
160000398292,RJ,20,F,2,502.3,645.5,565.2,538.5,600,3,C,A
160000398293,SP,17,F,2,,,,,,5,E,B
160000398294,PR,22,M,3,,,,,,3,B,A
160000398295,SP,22,M,3,567.3,703.6,729,644.2,640,1,D,B
160000398296,SP,17,F,1,511.7,525.5,453.5,509.7,440,2,C,B
160000398297,MA,26,F,3,,,,,,3,D,B
160000398298,PA,20,F,3,,,,,,2,E,A
160000398299,RO,26,F,3,,,,,,1,C,A
160000398300,BA,18,F,3,544.4,651,552.5,612.3,760,4,G,B
160000398301,ES,18,M,3,571.1,631.8,505.6,731.7,560,3,G,B
160000398302,SP,22,M,1,,,,,,4,G,B
160000398303,PR,25,F,1,427.6,568.1,,,,3,D,A
160000398304,PB,24,F,3,507.1,506.2,550.8,374.9,600,3,C,A
160000398305,SP,30,M,1,635.4,667.8,641.4,795.8,760,2,H,A
160000398306,PR,26,M,1,,,,,,3,D,B
160000398307,DF,18,M,3,482.3,577,569.5,498.6,660,5,C,B
160000398308,ES,24,M,1,432.9,526.3,551.9,404.6,600,2,B,B
160008495888,SC,19,F,1,599.9,630.5,622.5,783.2,720,5,G,B
160000398309,MG,18,M,1,486.3,584.9,526.1,440.8,540,5,J,B
160000398310,PI,25,F,3,,,,,,4,B,A
160000398311,SP,28,M,3,500.7,572.4,569.4,632.2,680,3,C,B
160000398312,RJ,20,M,1,,,,,,3,E,B
160000398313,PI,22,M,2,404.7,479.8,552.2,396.3,520,5,C,B
160000398314,SP,21,M,3,566.8,642.5,591.4,565.5,600,4,F,B
160000398315,MG,16,M,2,,,,,,6,H,B
160000398316,MG,18,F,2,409.2,545.1,561.5,426.4,600,4,C,B
160000398317,MG,28,M,1,,,,,,2,I,B
160000398318,MA,28,M,3,,,,,,8,C,A
160000398319,SP,18,F,1,563.7,600.4,589.9,616.5,620,4,D,B
160000398320,PE,17,F,2,622.7,662,597.1,626.5,600,6,F,B
160000398321,CE,23,M,2,456.4,462.7,557.4,570.8,680,5,C,B
160000398322,PA,35,M,3,439.6,585.4,530.3,538.8,440,5,C,A
160000398323,SP,19,M,1,699.6,723.8,620.6,782.5,660,4,N,B
160000401686,MG,21,F,2,459,582.1,522.9,464.5,560,4,E,B
160000401687,SP,31,M,1,519.4,625.9,577.8,488.4,760,2,H,B
160000401688,SP,20,F,3,403,487.4,,,,2,B,A
160000401689,SE,31,F,3,540.7,583.7,561.8,483.2,520,2,D,B
160000401690,BA,44,M,3,535.2,675.6,578.1,531.5,500,3,F,B
160000401691,CE,23,M,3,524.3,669.7,631.7,618.6,860,2,D,B
160000401692,SC,28,F,3,386.1,548.1,519.6,554.5,720,2,D,B
160000401693,SP,19,F,1,430.1,466.9,577.3,383.6,500,4,B,B
160000401694,MG,24,F,1,657.4,677.1,658.1,678.5,800,1,D,B
160000401695,PR,17,M,1,653.4,619.6,626.4,752.1,640,4,P,B
160000401696,MG,26,M,1,458.7,507.1,427.4,502,400,4,B,B
160008576956,DF,21,F,3,401.5,515.2,515.2,529,480,5,B,A
160000401697,BA,18,F,1,507.6,613.8,570.1,480.3,880,3,H,B
160000401698,RS,30,F,1,,,,,,3,H,B
160000401699,SE,16,M,5,638.7,640.2,552.3,590.1,900,3,N,B
160000401700,SP,18,F,1,,,,,,3,C,B
160000401701,SP,19,F,1,,,,,,1,C,A
160000401702,SC,21,M,3,,,,,,4,E,B
160000401703,ES,19,F,1,,,,,,5,C,B
160000401704,SP,19,F,3,,,,,,2,C,B
160000401705,RJ,23,F,1,,,,,,3,E,A
160000401706,RJ,24,F,2,564.1,618.8,583.3,710.3,520,5,H,B
160000401707,BA,37,F,3,,,,,,4,B,A
160000401708,PB,17,M,1,595.7,652.9,632,760.5,760,2,K,B
160000401709,PE,27,M,3,722,696.5,627.1,750.7,740,11,I,B
160000401710,RJ,27,F,1,531.5,577.6,633.5,406.8,540,6,I,B
160000401711,RN,21,F,3,480.1,501,481.8,457,0,5,B,B
160000401712,PE,42,F,1,413.6,495.4,487.9,468.9,500,3,B,B
160000401713,SC,24,F,1,,,,,,2,F,B
160000401714,RJ,18,M,2,,,,,,5,G,B
160000401715,PR,36,M,1,512.7,620.4,523.6,628.2,820,5,B,A
160000401716,SP,24,M,1,451.7,543.7,378.3,484.1,560,5,E,B
160000401717,PB,17,M,1,580.7,638.4,603.6,466.5,800,2,C,B
160000401718,GO,23,F,2,403.6,606.8,570,514.7,780,1,B,B
160000401719,MG,22,F,1,374.1,499,459.6,450.3,440,4,C,A
160000401720,PA,27,M,3,391.7,413.8,417.1,524.3,380,5,C,B
160000401721,RJ,34,F,1,,,,,,5,D,B
160000401722,CE,17,F,4,496.6,442.7,458,388.9,480,6,C,B
160000401723,CE,26,M,3,411.2,418.5,432,469.8,400,4,C,B
160000401724,AL,34,F,3,457.5,460.9,461.9,471.7,600,5,C,B
160000401725,RS,23,M,1,659.6,639.3,632,835.4,840,4,I,B
160000401726,SP,20,F,1,475.5,614,615.1,570,560,4,I,B
160000401727,MG,32,M,2,,,,,,4,C,B
160000401728,ES,36,M,1,521.9,634.1,553.3,423.4,620,2,E,B
160000401729,RO,21,M,1,512.3,608.5,620.6,730.9,600,5,N,B
160000401730,SC,18,M,1,815.9,709.4,669.3,869.8,920,4,O,B
160000401731,DF,21,M,1,,,,,,4,H,B
160000401732,MG,35,M,2,644.6,697.4,677.6,753.3,560,4,H,A
160000401733,SP,19,M,1,,,,,,4,F,B
160000401734,PA,21,M,3,553.5,609.8,598.1,581.5,680,4,A,B
160000401735,SC,22,F,1,506.3,585.5,607.4,625.9,560,3,E,B
160000401736,MG,20,F,1,584.6,596.2,537.7,617.8,780,4,Q,B
160000401737,PR,20,F,1,603,588.2,538.2,595.5,680,4,I,B
160008374686,SP,18,F,1,571,572.2,555,459.4,600,4,D,B
160000401738,RJ,16,M,1,566.3,591.5,543.2,559.9,520,4,F,B
160000401739,RN,47,M,3,598.7,699.1,592,674.8,820,3,N,B
160000401740,MA,18,M,1,416.5,520.7,425.7,452,760,4,D,B
160000405089,MG,26,M,4,,,,,,4,N,B
160000405090,MG,19,F,1,,,,,,4,C,B
160000405091,CE,26,M,3,389.4,586.2,,,,4,B,B
160000405092,MG,27,M,6,,,,,,3,H,B
160000405093,BA,18,F,3,383.9,482.2,575.7,571.2,520,5,C,B
160000405094,RJ,20,F,1,525.7,586,577.6,443.6,400,3,C,B
160000405095,MA,17,M,3,585.7,625.2,518.5,460.8,700,3,C,B
160000405096,BA,38,M,2,,,,,,8,C,A
160000405097,MT,26,F,3,,,,,,3,F,B
160008596320,DF,36,F,2,,,,,,5,C,B
160000405098,DF,21,F,1,634.2,603.3,598.1,443.4,680,5,E,B
160000405099,MG,21,F,2,450,429.3,566,396.2,460,5,C,A
160000405100,DF,19,M,3,449.3,595.5,515.9,363.4,620,5,D,A
160000405101,RJ,19,M,3,409.7,483.8,445.7,483.6,500,5,M,B
160000405102,MG,25,F,2,392.6,558,458,585.1,520,2,D,A
160000405103,SP,18,M,1,619.8,697.7,671.6,837.1,680,4,I,B
160000405104,SP,19,F,3,494.8,500.1,530.5,470.5,520,4,G,B
160000405105,RN,28,F,1,498.7,466.4,552.4,431.1,660,2,D,B
160000405106,SP,43,F,1,417.5,585,556.6,468.8,600,2,D,A
160000405107,SP,18,F,3,643.8,651.1,653.5,794,680,2,B,B
160000405108,PI,24,F,3,431.3,531.9,535.6,475.8,400,6,A,A
160000405109,GO,18,M,1,471.9,603.5,526,433.1,600,4,C,B
160000405110,MG,19,M,3,616.7,653.7,583.3,524.9,600,1,B,B
160008374688,SP,24,M,3,,,,,,6,B,B
160000405111,MG,28,F,3,601.3,561.6,570.9,559.3,620,3,F,A
160000405112,GO,19,M,1,574.2,653.6,582.5,574.7,760,3,F,B
160000405113,SP,20,M,0,646,663.5,637.2,645.9,800,4,N,B
160000405114,RS,18,M,1,512.3,559.2,465.1,417.7,420,5,C,A
160000405115,MG,18,F,1,559.8,594.8,603.5,583.3,660,5,C,B
160000405116,SP,17,F,1,,,,,,4,J,B
160000405117,MG,30,M,1,487.1,407.1,387.8,583.5,400,3,B,B
160000405118,GO,27,F,3,423.8,618,634.4,654.7,600,4,E,B
160000405119,BA,20,F,4,413.1,470.6,463,365.6,480,5,D,B
160000405120,MG,18,F,3,534.5,631.7,609,574.4,640,4,D,B
160000405121,RS,19,M,1,544.8,546.7,521.5,673.7,560,3,C,B
160000405122,SP,20,F,3,678.4,748.9,656.1,641.9,1000,1,C,B
160000405123,SP,17,F,1,468.2,540.1,512.9,463.3,520,5,C,B
160000405124,SC,22,F,2,,,,,,4,H,B
160000405125,MG,19,M,3,664.1,735.1,661.3,776.3,800,5,G,B
160000405126,RJ,20,F,3,,,,,,2,D,B
160000405127,PA,17,F,3,561.8,595.8,583.9,563.2,740,3,C,B
160000405128,SP,22,F,1,,,,,,3,H,B
160000405129,PE,24,M,2,,,,,,4,D,A
160000405130,BA,22,F,1,,,,,,2,C,B
160008492988,PR,21,F,1,545.1,609.6,615.8,642,560,3,C,B
160000405131,PR,26,F,1,,,,,,2,C,B
160000405132,CE,15,M,5,606.4,599.4,534,561.5,360,4,D,A
160000405133,PE,24,M,2,578.3,594.2,623.2,765.9,580,4,B,A
160000405134,BA,21,F,3,,,,,,7,C,A
160000405135,SP,45,F,1,426.9,533.9,542.9,396.4,440,3,E,A
160000405136,MG,29,M,1,,,,,,2,F,B
160000405137,SP,19,M,1,582.9,621.7,589.3,568.6,720,4,D,B
160000405138,MG,19,M,3,404.5,607.5,553.1,492.3,580,9,B,B
160000405139,SC,18,F,1,,,,,,4,F,B
160000405140,PR,27,M,1,,,,,,3,C,B
160000405141,RS,34,M,1,,,,,,4,N,B
160000407937,MG,19,F,1,665.8,640,612.5,714.8,940,4,G,B
160000407938,SP,34,F,3,,,,,,3,D,B
160000407939,PB,24,F,4,546.6,591.9,595.6,400.5,780,3,D,B
160000407940,MG,26,F,3,472.3,587.8,584.3,443.4,580,5,C,A
160000407941,SE,18,F,3,627.5,590.7,572.4,518,580,4,I,B
160000407942,CE,19,F,1,438.5,526.2,459.1,487.1,540,2,B,A
160000407943,BA,24,F,3,452.2,648.1,529.7,432,820,3,C,B
160000407944,DF,35,F,3,489.3,552.7,510.3,500.9,580,4,C,B
160000407945,SP,21,F,1,,,,,,3,E,B
160000407946,RJ,18,M,1,,,,,,2,D,B
160000407947,PB,27,F,3,452.9,550,470.9,391.7,540,5,B,A
160000407948,DF,20,M,1,,,,,,2,D,B
160000407949,PR,17,F,1,381.1,515.2,498.8,407.5,460,4,C,B
160000407950,MA,15,F,2,430.6,418.3,431.8,447.2,460,4,C,B
160000407951,PE,21,F,2,,,,,,4,C,B
160000407952,RJ,18,F,1,637.4,652.1,610.5,761.6,920,3,M,B
160000407953,BA,39,F,1,600,654.4,621.8,501.9,660,4,E,B
160000407954,MT,46,M,1,574,675.9,634.8,668,380,1,H,B
160000407955,MG,21,F,2,380.3,446.3,540.8,452.7,540,3,F,B
160000407956,SP,16,M,1,606.9,650.7,648.2,744.1,760,4,O,B
160000407957,AC,24,M,1,473.3,558.2,,,,3,B,B
160000407958,AL,18,F,1,467.8,512.8,541.8,390.4,600,4,C,B
160008374684,BA,20,F,2,577.3,566.8,558.9,522.3,520,4,C,B
160000407959,SP,17,F,2,497.2,600.9,506.2,379.2,380,3,D,B
160000407960,GO,22,M,3,,,,,,4,D,B
160000407961,SP,24,F,1,539.3,611.4,605.3,674.7,640,3,D,B
160000407962,PR,17,F,1,372.2,506.1,481.2,425.8,500,3,F,B
160000407963,SE,19,F,3,495.3,527.8,498.3,557.7,500,4,B,B
160000407964,MG,19,F,1,392.9,583.8,516.4,408.4,560,4,B,A
160000407965,PR,20,F,1,444.7,471.8,544.3,410.2,440,6,C,A
160000407967,SC,25,F,1,,,,,,2,F,A
160000407966,BA,21,M,2,596.5,626.2,582.2,710.3,800,4,G,B
160000407968,PR,24,F,1,,,,,,1,C,B
160000407969,SP,29,M,0,496.7,604.4,605.2,729.7,480,1,D,A
160000407970,RJ,18,M,1,413.9,553.9,535,519.7,440,2,C,B
160000407971,MG,25,M,3,,,,,,1,E,B
160000407972,PR,19,F,1,521.7,587.7,590,397.1,560,4,H,B
160000407973,BA,20,F,3,431.4,551,574.3,561.2,480,4,C,B
160000407974,BA,17,F,2,409.6,524.5,548.4,446,680,3,C,B
160000407975,PE,19,M,4,479.3,543.7,533.9,564.2,460,4,D,B
160000407976,PB,19,M,3,513.6,410,528.2,433.8,520,5,A,A
160000407977,PR,16,F,1,545.5,582.9,523.6,615.3,480,4,C,B
160000407978,SP,30,F,1,,,,,,6,P,B
160000407979,SP,22,M,1,,,,,,4,E,B
160000407980,BA,22,F,2,551.1,610.3,628.2,523.2,500,3,C,B
160000407981,SP,20,M,1,401.6,563.5,569.4,408.2,700,5,C,A
160000407982,GO,20,F,1,589.4,651.4,678,639,740,2,J,B
160000407983,BA,19,M,3,427.9,440.2,422.1,459.2,0,15,B,B
160000407984,SP,29,F,1,,,,,,4,D,B
160000407985,PA,17,M,3,464.2,498.9,365,481.2,520,4,D,B
160000407986,MT,24,F,1,415.3,556.1,557.2,482.5,600,4,G,B
160000407987,SP,22,F,4,458.5,557.4,436.8,359.5,720,3,D,B
160000407988,BA,30,M,3,,,,,,2,C,B
160000407989,CE,36,M,3,544.2,660.9,516.3,590.2,640,4,C,B
160000407990,GO,20,M,3,550.9,497.8,488,438.5,440,6,C,B
160000407991,PB,22,F,3,542.6,642.6,623.7,506.2,560,4,C,B
160000407992,SP,18,M,1,559.5,611.7,607.6,609.6,800,3,B,B
160008493027,SP,18,F,1,552.2,627.3,567.2,652.5,840,4,H,B
160000407993,MG,22,M,1,537.1,611.8,574.4,616.9,740,2,B,A
160000407994,SP,18,F,3,436.2,528.7,537.5,472.3,500,2,B,B
160000410931,SP,24,F,1,449.1,573.7,545.1,584.2,640,4,C,B
160000410932,DF,17,F,1,508,537.4,509.6,386.2,560,5,G,B
160000410933,SP,28,F,3,,,,,,4,E,B
160000410934,RS,28,F,1,497.8,623,606.6,671.2,560,4,D,B
160000410935,BA,20,F,1,427.9,606.1,562.3,361.4,580,5,G,B
160000410936,GO,17,F,0,400.6,418.5,543.6,450.7,560,4,D,A
160000410937,BA,36,F,1,,,,,,9,D,B
160000410938,GO,19,F,4,453.4,535.7,444.1,419.6,600,3,C,A
160000410939,MG,18,F,1,624.8,668.7,647.1,679.9,840,5,C,B
160000410940,SP,21,M,1,625.9,670.2,584.1,714.1,840,3,D,B
160000410941,PR,64,M,1,548.9,634.7,582,498.2,400,1,C,B
160000410942,PR,29,F,1,386.1,562,600.1,563.3,500,3,H,A
160000410943,RJ,18,F,1,,,,,,2,B,B
160000410944,PE,31,F,3,468.7,522.8,548.4,545.8,540,4,C,A
160000410945,BA,24,M,3,408.9,567.4,472.2,503.8,540,5,C,B
160000410946,PE,21,F,3,,,,,,4,C,B
160000410947,CE,18,M,3,,,,,,5,I,B
160000410948,MS,36,M,1,510.8,541.9,516.5,494.8,480,6,G,B
160000410949,ES,29,F,3,442.5,513.4,483.5,393.9,440,2,C,A
160000410950,MA,25,M,2,504.7,574.1,532,717.9,480,9,G,A
160000410951,PE,19,F,1,526.9,603.2,569.5,416.9,680,4,F,B
160000410952,RS,20,M,0,476.5,636.4,,,,3,B,B
160000410953,SP,22,F,3,,,,,,3,C,B
160000410954,SP,42,F,3,,,,,,2,D,B
160000410955,GO,29,M,2,,,,,,5,D,A
160000410956,MA,21,F,3,439.7,437.8,516.7,444.5,400,5,B,B
160000410957,ES,46,M,3,594.5,620,617.4,605.5,540,1,I,B
160000410958,SP,18,F,3,594.9,502.6,542.2,605,640,3,E,B
160000410959,SP,35,M,1,539.6,604.8,605.9,499.2,660,4,E,B
160000410960,PE,22,M,3,,,,,,5,C,B
160000410961,GO,17,F,1,539.4,501.5,584.2,490.5,540,5,C,A
160000410962,MG,20,F,3,493.1,438.8,531.7,473.2,520,4,B,A
160000410963,RS,22,F,1,433.5,583.5,522.5,543.2,600,3,G,B
160000410964,GO,19,F,3,510.5,554.3,523.5,495.3,620,7,M,B
160000410965,RS,35,F,2,427.5,423.7,,,,2,B,B
160000410966,RJ,35,M,1,489.6,598.7,565.9,549.1,400,3,F,B
160000410967,SP,23,F,3,568.1,618.7,587.6,638.6,540,4,F,B
160000410968,SE,24,M,3,537.1,643.5,569.8,600.2,820,2,B,B
160000410969,RJ,26,F,1,,,,,,5,F,B
160000410970,BA,24,M,1,,,,,,4,D,B
160000410971,MG,20,M,1,401.4,511.4,513.1,506.8,840,4,G,B
160000410972,MG,18,F,1,476.4,543.3,536.9,550.5,740,4,D,B
160000410973,CE,28,M,1,484.7,537.9,,,,2,D,B
160000410974,MG,24,F,1,,,,,,4,I,B
160008598163,MG,34,F,1,,,,,,3,I,B
160000410975,DF,20,F,3,,,,,,6,D,B
160000410976,RJ,19,F,1,428.6,478,511.2,410.9,660,5,C,B
160000410977,SP,24,M,3,417.1,517.6,404.1,383,460,5,C,A
160000410978,MG,19,F,2,,,,,,6,H,B
160008492989,PB,19,F,1,676.4,705.9,666.3,774.7,900,4,E,B
160000410979,CE,17,F,1,599.1,655.8,638.7,720.8,840,6,P,B
160000410980,MS,44,M,3,538,605,444,436.2,380,3,C,B
160008374682,CE,26,M,3,,,,,,3,H,B
160000410981,RN,18,M,1,494.4,565.6,522.3,562.7,600,4,D,B
160000410982,CE,34,F,3,,,,,,1,K,A
160000410983,PR,22,F,1,403.5,595.2,562.3,520.5,540,2,D,B
160008576955,SP,33,F,3,,,,,,5,B,B
160000410984,PA,44,M,3,533,613.7,563.4,496.4,780,3,G,B
160000410985,SP,17,M,1,597.7,698.3,659.6,735.7,740,4,P,B
160000414085,SP,17,F,1,626.6,681.5,632.7,623.8,840,3,N,B
160000414086,MG,18,F,2,472,584.6,565.6,472.1,580,3,C,B
160000414087,SP,20,M,1,598.3,614.8,604.5,577.2,560,4,G,B
160000414088,SP,33,M,3,465.1,527.6,443.6,503.8,480,3,B,B
160000414089,RJ,28,F,2,,,,,,5,C,B
160000414090,MA,29,F,3,,,527,506,560,1,B,A
160000414091,MT,22,M,3,,,,,,3,B,B
160000414092,SE,21,F,3,462.1,572.5,599.5,436.6,560,1,B,B
160000414093,RJ,38,F,1,,,,,,4,D,B
160000414094,MA,17,F,3,511.2,612.5,551.7,373.2,580,3,A,A
160000414095,RJ,21,M,1,,,,,,3,C,B
160000414096,MG,35,M,3,615.4,698.6,669.3,546.2,600,2,K,B
160000414097,MG,28,F,1,498.6,583.5,605.3,610.9,740,2,B,A
160000414098,CE,20,F,3,565,608.2,,,,2,C,B
160000414099,RS,21,F,3,,,,,,3,I,B
160000414100,SP,33,M,1,584.3,659.7,589.7,689.4,600,3,D,B
160000414101,SP,21,F,3,420.6,503.6,502.4,461.4,400,7,G,B
160000414102,RJ,52,M,3,,,,,,5,Q,B
160000414103,RS,26,F,1,389.3,472.6,471.2,594,580,1,E,A
160000414105,TO,17,F,1,640.4,682.5,610.5,661.5,640,5,Q,B
160000414104,TO,25,F,3,489.6,509,502.9,496.5,540,2,C,A
160000414106,MA,20,M,0,633.7,682.7,628.9,703.5,880,3,B,B
160000414107,PR,18,F,1,608.3,611,513.1,468.2,480,4,F,B
160000414108,AP,30,M,3,,,,,,4,D,A
160000414109,BA,22,F,3,,,,,,7,C,B
160000414110,BA,33,F,1,493,646.9,609.6,543.6,620,1,A,A
160000414111,MG,25,F,1,491.4,546.1,406.2,397.4,720,4,D,B
160000414112,PR,17,F,1,,,,,,3,D,A
160000414113,MG,25,F,3,519.1,510.4,527.8,389.8,600,3,D,B
160000414114,SP,26,M,4,,,,,,3,G,B
160000414115,ES,20,M,3,560.4,620.1,634.2,506.2,620,4,B,B
160000414116,MA,33,M,3,634.8,664.7,554.6,572.4,600,4,H,B
160000414117,SP,30,M,3,,,,,,2,D,B
160000414118,MG,24,M,1,540.3,593.1,580.5,546.2,540,4,F,B
160000414119,SP,21,F,1,541.3,621.1,639,414.2,660,4,H,B
160000414120,GO,22,F,3,421.2,545,477.4,458.2,600,2,B,A
160000414121,SP,18,F,1,483.1,586.1,484,426.3,500,3,D,B
160000414122,MG,23,M,3,,,,,,4,D,B
160000414123,PR,27,M,2,536.5,619.8,587.1,679.2,560,3,C,A
160000414124,PB,18,M,3,510,583.9,487,509.6,660,4,C,B
160000414125,MG,24,F,1,,,,,,3,C,B
160000414126,RJ,24,F,1,,,,,,5,C,B
160000414127,RS,24,M,6,665.4,632.1,640.3,696.9,720,2,B,B
160000414128,SP,18,F,1,,,,,,3,B,B
160000414129,RO,22,M,4,,,,,,5,H,B
160000414130,MG,23,F,6,480.4,449.9,516.3,538.4,460,3,N,B
160000414131,MG,21,M,1,,,,,,4,E,B
160000414132,PI,17,F,3,516.5,529,521.8,434.3,540,5,B,B
160000414133,BA,23,F,1,494.6,571.2,512.7,446.7,460,2,B,A
160000414134,SP,25,M,3,629.4,614.3,496,695.2,580,5,C,A
160000414135,BA,28,M,2,,,,,,2,B,A
160000414136,MS,18,F,1,576.1,645.2,584.4,695.2,680,3,L,B
160000414137,PR,18,F,1,448.4,583.9,509,544.3,660,5,D,B
160000414138,BA,27,M,3,,,,,,3,C,B
160000414139,GO,25,F,3,418.8,452,423.3,420.5,360,6,C,B
160000414140,SP,41,M,1,,,,,,2,C,B
160000414141,SP,24,M,3,398.6,550.2,474.6,428.3,340,6,D,B
160000414142,PI,22,M,3,,,,,,1,A,B
160000417395,SC,23,M,1,506.1,538.6,543.1,508.5,460,1,D,B
160000417396,SP,35,F,2,,,,,,2,D,A
160000417397,BA,21,F,3,,,,,,4,D,B
160000417398,PR,23,M,1,471.5,517.6,,,,3,C,B
160000417399,CE,18,F,3,523.8,498.7,557.4,433,460,4,B,B
160000417400,SP,22,M,1,,,,,,5,D,B
160000417401,RJ,21,F,1,,,,,,3,B,A
160000417402,DF,21,M,3,588.7,623.7,610.7,710.9,440,2,C,B
160000417403,RJ,18,F,1,620.9,705.9,688.9,828.3,920,3,P,B
160000417404,ES,24,F,1,483.3,628.2,593.2,334.3,500,3,C,B
160000417405,CE,18,F,3,489.6,661.2,577.5,490.7,800,3,B,A
160000417406,PR,27,F,2,,,,,,2,D,B
160000417407,AP,19,F,3,544.6,608.6,579.4,477.4,640,4,I,B
160000417408,MG,37,M,1,620.4,662.1,615.9,674.9,820,4,N,B
160000417409,PB,17,M,3,690,690.2,614.3,850,920,4,H,B
160000417410,BA,38,M,2,482.2,514.9,466.4,467.9,500,2,C,B
160000417411,RN,18,M,3,559.6,534.2,456.7,557,480,7,C,A
160000417412,RJ,18,F,1,637.1,632.2,615.1,718.7,700,3,L,B
160000417413,RN,19,M,3,635.5,654.9,603.9,635.4,740,4,E,B
160000417414,BA,19,M,1,614.2,598.2,636.6,646.6,620,2,H,B
160000417415,SP,21,F,1,728.7,743.5,650.1,691.4,780,4,G,B
160000417416,AC,28,M,3,606.2,591.8,581.8,506.3,680,5,G,B
160000417417,DF,34,F,3,,,,,,4,D,B
160000417418,CE,17,M,2,476.3,585,560,473.3,580,3,C,B
160000417419,SP,31,M,3,,,,,,2,D,A
160000417420,RN,23,F,1,577.6,596.4,572.5,525.6,780,5,K,B
160000417421,RN,17,M,3,413,473.1,452.1,498.3,480,7,B,B
160000417422,PR,24,F,2,,,,,,5,D,A
160000417423,PR,25,F,1,442.2,508.1,534.5,403.7,600,4,H,B
160000417424,SP,31,F,1,403.7,527.9,530.3,464.4,620,4,D,A
160000417425,SP,24,M,2,560,611,622.1,670,700,5,F,B
160000417426,MG,19,F,1,410.1,600.7,529.2,442.8,680,2,F,B
160000417427,DF,25,M,3,620.6,581.3,617.8,593.4,500,5,J,B
160000417428,SE,34,F,3,425.7,586.5,518.2,377,520,1,C,A
160000417429,CE,17,F,1,623.9,584.4,597.7,693.4,680,4,P,B
160000417430,MG,19,M,1,604.9,652.4,638.6,780,640,4,D,A
160000417431,PR,24,F,1,463.8,386.2,544.2,496.4,420,6,D,B
160000417432,MG,21,F,1,495,592.4,527.7,474.4,680,4,O,B
160008576957,RJ,33,F,3,587.4,666.5,659.2,551,560,3,D,B
160000417433,SP,21,F,4,552.6,634.5,572,534,920,2,D,B
160000417434,GO,31,F,1,,,,,,4,G,B
160000417435,SP,22,M,1,595.2,626.1,543.3,526,520,3,D,B
160000417436,SP,27,F,1,503.2,574.1,599,635.9,720,2,D,B
160000417437,PA,29,F,1,564.1,603.4,591.2,485.2,580,3,I,B
160000417438,PA,32,F,2,436.4,445.8,479.6,418.9,380,3,D,B
160008576958,SP,17,F,1,634.3,654.3,620.3,681.8,640,3,H,B
160000417439,SP,20,M,1,533.9,550.4,564,517.5,640,4,H,B
160000417440,CE,18,F,2,385.8,460.9,485.1,400.1,400,6,B,A
160000417441,PA,23,M,3,,,,,,4,B,A
160000417442,MG,27,F,2,,,,,,3,E,B
160000417443,DF,23,M,2,,,,,,4,C,B
160000417444,PR,18,F,1,543.9,619,555.2,672,560,3,F,B
160000417445,SP,36,F,2,582.1,707.1,690.3,670.2,640,4,Q,B
160000417446,MG,19,F,1,488.4,594.6,530.2,628.7,480,3,E,A
160000417447,MG,20,M,3,635.2,631.5,594.2,660.1,720,4,E,B
160000417448,AM,20,M,1,530.5,666.2,612.7,575.3,720,3,D,A
160000420748,MG,19,F,1,606.7,644.9,610.2,687,900,1,E,B
160000420749,MG,22,M,1,608.7,625.8,632.5,720.7,820,3,F,B
